CUT,TITLE,ARTIST,ALBUM,GROUP,ACTSTART,ACTDUR,DATE,
50568,The Moment,Tame Impala                                                 ,Currents                                                    ,INDIE,15:51:20,0:04:15,1/4/2026,
50789,Favorite,Tigers Jaw                                                  ,spin                                                        ,INDIE,15:55:35,0:02:03,1/4/2026,
50796,Shelved,The Mountain Goats                                          ,Goths                                                       ,INDIE,15:57:38,0:03:57,1/4/2026,
50008,Blockin' The Street SID,Brian Griffin                                               ,                                                            ,IDS,16:01:35,0:00:20,1/4/2026,
50765,Slip Away,Perfume Genius                                              ,No Shape                                                    ,INDIE,16:01:55,0:02:45,1/4/2026,
12377,Sleep Apnea,Beach Fossils                                               ,                                                            ,INDIE,16:04:40,0:02:27,1/4/2026,
50707,Holding On,The War On Drugs                                            ,A Deeper Understanding                                      ,INDIE,16:07:07,0:04:16,1/4/2026,
50588,The Luckiest Guy On The Lower East Side,The Magnetic Fields                                         ,The Magnetic Fields                                         ,INDIE,16:11:23,0:03:39,1/4/2026,
50336,Terry Crews 30,                                                            ,                                                            ,SHORTPSA,16:15:02,0:00:30,1/4/2026,
50127,Army National Guard (Family 60),                                                            ,                                                            ,LONGPSA,16:15:32,0:01:00,1/4/2026,
50378,ISSUEVOTER PSA 03,ISSUEVOTER AND [CASEY]                                      ,                                                            ,SHORTPSA,16:16:32,0:00:30,1/4/2026,
50689,I'm Scum,IDLES                                                       ,Joy as an Act of Resistance.                                ,INDIE,16:17:02,0:03:09,1/4/2026,
50737,Slicked,Weaves                                                      ,Wide Open                                                   ,INDIE,16:20:12,0:04:08,1/4/2026,
50825,Shanalala,White Denim                                                 ,                                                            ,INDIE,16:24:20,0:02:46,1/4/2026,
50400,CDCZika-WomanDoctor-30-Spanish(1),                                                            ,                                                            ,SHORTPSA,16:27:06,0:00:30,1/4/2026,
50102,Feed the Pig (Overboard) 60,Gov PSA                                                     ,                                                            ,LONGPSA,16:27:36,0:01:00,1/4/2026,
50316,AUAW At Work Phase II,                                                            ,                                                            ,SHORTPSA,16:28:36,0:00:30,1/4/2026,
50844,Surrender,Wintersleep                                                 ,                                                            ,INDIE,16:29:07,0:04:16,1/4/2026,
50665,Rosebud,US Girls                                                    ,In A Poem Unlimited                                         ,INDIE,16:33:23,0:03:10,1/4/2026,
50536,Forest,"Parks, Squares, and Alleys                                  ",                                                            ,INDIE,16:36:33,0:04:05,1/4/2026,
50540,Blue,"Dream, Ivory                                                ","Dream, Ivory                                                ",INDIE,16:40:38,0:02:30,1/4/2026,
50105,Radon Testing (Gospel) 60,                                                            ,                                                            ,LONGPSA,16:43:08,0:01:00,1/4/2026,
50308,Cheering Section 30,                                                            ,                                                            ,SHORTPSA,16:44:08,0:00:30,1/4/2026,
50635,Pills (Clean Edit),St. Vincent                                                 ,MASSEDUCTION                                                ,INDIE,16:44:39,0:04:40,1/4/2026,
50787,C,Oh Sees                                                     ,Smote Reverser                                              ,INDIE,16:49:19,0:04:19,1/4/2026,
50638,Cold Apartment,Vagabon                                                     ,Infinite Worlds                                             ,INDIE,16:53:38,0:03:25,1/4/2026,
50783,Cutlass Cruiser,TOPS                                                        ,Sugar At The Gate                                           ,INDIE,16:57:03,0:03:21,1/4/2026,
50066,Bjork SID,                                                            ,                                                            ,IDS,17:00:24,0:00:09,1/4/2026,
50606,Letting Go,Wild Nothing                                                ,Indigo                                                      ,INDIE,17:00:33,0:03:39,1/4/2026,
50859,I'm Just Snacking,Gus Dapperton                                               ,I'm Just Snacking - Single                                  ,INDIE,17:04:12,0:03:15,1/4/2026,
50601,Alaska,Pinegrove                                                   ,11:11,INDIE,17:07:27,0:02:06,1/4/2026,
50647,Orphans of the Song,Death of Lovers                                             ,The Acrobat                                                 ,INDIE,17:09:33,0:04:19,1/4/2026,
50310,SSS Bikini 30,Gov PSA                                                     ,                                                            ,SHORTPSA,17:13:52,0:00:30,1/4/2026,
50138,Coming Around,ALClean Fuels Coalition                                     ,                                                            ,LONGPSA,17:14:22,0:00:59,1/4/2026,
50375,Drive Electric Driving Experience AL,AL Clean Fuels Coalition                                    ,                                                            ,SHORTPSA,17:15:21,0:00:30,1/4/2026,
50762,My Mouth,Us and Us Only                                              ,Full Flower                                                 ,INDIE,17:15:51,0:03:37,1/4/2026,
50767,If Before I Wake,The Districts                                               ,Popular Manipulations                                       ,INDIE,17:19:28,0:02:56,1/4/2026,
50691,When I Tried,Widowspeak                                                  ,Expect The Best                                             ,INDIE,17:22:24,0:04:42,1/4/2026,
50389,BARD SESSIONS PSA,[CASEY]                                                     ,                                                            ,SHORTPSA,17:27:06,0:00:36,1/4/2026,
50129,Beat Drop/WWEGL Joint PSA,L Hurston                                                   ,                                                            ,LONGPSA,17:27:42,0:01:03,1/4/2026,
50347,I Am A Witness_English_30,                                                            ,                                                            ,SHORTPSA,17:28:45,0:00:30,1/4/2026,
50500,The Bottom,MICHELLE                                                    ,                                                            ,INDIE,17:29:15,0:03:38,1/4/2026,
50507,Laundry Room,The Avett Brothers                                          ,                                                            ,INDIE,17:32:53,0:04:50,1/4/2026,
50694,Dizzy on the Comedown,Turnover                                                    ,Peripheral Vision                                           ,INDIE,17:37:43,0:04:15,1/4/2026,
50575,After The Party,The Menzingers                                              ,After The Party                                             ,INDIE,17:41:59,0:03:50,1/4/2026,
50121,Attention Men 60,                                                            ,                                                            ,LONGPSA,17:45:49,0:01:00,1/4/2026,
50382,ALW Eye on the Prize,                                                            ,                                                            ,SHORTPSA,17:46:49,0:00:30,1/4/2026,
50662,Loop Love,VALLEY                                                      ,                                                            ,INDIE,17:47:19,0:03:28,1/4/2026,
50680,My 85th Rodeo,Worriers                                                    ,Survival Pop                                                ,INDIE,17:50:47,0:02:43,1/4/2026,
50715,The Barely Blur,WHY?                                                        ,Moh Lhean                                                   ,INDIE,17:53:30,0:04:54,1/4/2026,
50035,LAWN DOG ID,[CASEY]                                                     ,                                                            ,IDS,17:58:24,0:00:09,1/4/2026,
31079,O Christmas Tree,Miles Davis                                                 ,                                                            ,HOLIDAYS,17:58:33,0:04:19,1/4/2026,
31145,I'll Be Home For Christmas (From The Kacey Musgraves Christm,Kacey Musgraves & Lana Del Rey                              ,The Kacey Musgraves Christmas Show                          ,HOLIDAYS,18:02:52,0:02:13,1/4/2026,
31034,Feliz Navidad (Live),Various Artists                                             ,Now That's What I Call Christmas! 2 (2 of 2)                ,HOLIDAYS,18:05:05,0:04:52,1/4/2026,
31033,Winter Wonderland,Johnny Mathis                                               ,Merry Christmas                                             ,HOLIDAYS,18:09:57,0:03:16,1/4/2026,
50315,ISSUEVOTER PSA 02,ISSUEVOTER AND [CASEY]                                      ,                                                            ,SHORTPSA,18:13:13,0:00:30,1/4/2026,
50134,Compact Discourse 1 60s,                                                            ,                                                            ,LONGPSA,18:13:43,0:01:03,1/4/2026,
50377,ALW Work Safe 30,                                                            ,                                                            ,SHORTPSA,18:14:46,0:00:30,1/4/2026,
31008,The Christmas Song (Merry Christmas to You),"Nat King"" Cole                                             """,Christmas Classics (Remastered)                             ,HOLIDAYS,18:15:16,0:03:07,1/4/2026,
31092,Christmas Music,Eagles                                                      ,                                                            ,HOLIDAYS,18:18:23,0:02:53,1/4/2026,
31073,Another Lonely Christmas,Prince                                                      ,The Hits/The B-Sides                                        ,HOLIDAYS,18:21:16,0:04:47,1/4/2026,
31081,green christmas,barenaked ladies                                            ,Dr. Seuss - How The Grinch Sto                              ,HOLIDAYS,18:26:03,0:02:34,1/4/2026,
31009,White Christmas,Michael Bolton                                              ,This Is the Time - The Christmas Album                      ,HOLIDAYS,18:28:38,0:03:40,1/4/2026,
50361,COVID Fall 23 Camilla,ADPH                                                        ,                                                            ,SHORTPSA,18:32:18,0:00:29,1/4/2026,
50145,LEAD Pizza Long PSA,RAE!                                                        ,                                                            ,LONGPSA,18:32:47,0:01:12,1/4/2026,
50311,Multiple Sclerosis 30,                                                            ,                                                            ,SHORTPSA,18:33:59,0:00:32,1/4/2026,
31089,Where Are You Christmas?,Faith Hill                                                  ,Dr. Seuss-How The Grinch Stole                              ,HOLIDAYS,18:34:31,0:04:04,1/4/2026,
31018,Let It Snow! Let It Snow! Let It Snow!,Dean Martin                                                 ,A Winter Romance                                            ,HOLIDAYS,18:38:35,0:01:51,1/4/2026,
31149,Merry Christmas,Al and the Vibrators                                        ,Christmas Greetings from Studio One                         ,HOLIDAYS,18:40:26,0:02:13,1/4/2026,
31024,Silver Bells,"Harry Connick, Jr.                                          ",Harry for the Holidays                                      ,HOLIDAYS,18:42:39,0:03:55,1/4/2026,
47800,Rental Assistance Urban,AL Housing                                                  ,                                                            ,SHORTPSA,18:46:34,0:00:30,1/4/2026,
50148,Lead President PSA Long,Rae!                                                        ,                                                            ,LONGPSA,18:47:04,0:01:11,1/4/2026,
50329,Texting & Driving (Two At Once)  30,Gov PSA                                                     ,                                                            ,SHORTPSA,18:48:15,0:00:30,1/4/2026,
31108,Do You Hear What I Hear?,Bing Crosby                                                 ,Christmas Classics (Remastered)                             ,HOLIDAYS,18:48:45,0:02:42,1/4/2026,
31094,This Christmas,Christina Aguilera                                          ,My Kind Of Christmas                                        ,HOLIDAYS,18:51:27,0:04:02,1/4/2026,
31056,Christmas Time Is Here (Instrumental),Vince Guaraldi Trio                                         ,A Charlie Brown Christmas (Original 1965 TV Soundtrack) [Exp,HOLIDAYS,18:55:29,0:06:02,1/4/2026,
50003,Dale Gribbles ID,Rae!                                                        ,                                                            ,IDS,19:01:31,0:00:10,1/4/2026,
31115,Christmas Wrapping,The Waitresses                                              ,Now That's What I Call Christmas                            ,HOLIDAYS,19:01:41,0:05:19,1/4/2026,
31107,"Frosty the Snowman (From Frosty The Snowman"" Soundtrack)""",Jimmy Durante                                               ,20 1's Christmas                                            ,HOLIDAYS,19:07:00,0:02:56,1/4/2026,
31022,Hangin' 'Round the Mistletoe,Alabama                                                     ,"Christmas, Vol. 2                                           ",HOLIDAYS,19:09:56,0:02:17,1/4/2026,
31122,Le petit renne au nez rouge,Danièle & Michèle                                           ,Chantent Noël                                               ,HOLIDAYS,19:12:13,0:02:36,1/4/2026,
50351,ADPH All Kids,ADPH                                                        ,                                                            ,SHORTPSA,19:14:49,0:00:31,1/4/2026,
50122,WEGL WEBSITE PSA,[CASEY]                                                     ,                                                            ,LONGPSA,19:15:20,0:01:00,1/4/2026,
50304,Opioid Abuse,NHHS                                                        ,                                                            ,SHORTPSA,19:16:20,0:00:30,1/4/2026,
31078,Grandma Got Run Over By A Reindeer,Ray Stevens                                                 ,The Collection [Madacy]                                     ,HOLIDAYS,19:16:50,0:03:19,1/4/2026,
31157,Christmas Is Not Just a Holiday,The Cables                                                  ,Christmas Greetings from Studio One                         ,HOLIDAYS,19:20:09,0:02:15,1/4/2026,
31027,A Holly Jolly Christmas,Alan Jackson                                                ,Honky Tonk Christmas                                        ,HOLIDAYS,19:22:24,0:02:10,1/4/2026,
31148,Christmas Cookies,George Strait                                               ,Christmas Cookies                                           ,HOLIDAYS,19:24:34,0:03:15,1/4/2026,
31098,Please Come Home for Christmas,Luther Vandross                                             ,This Is Christmas                                           ,HOLIDAYS,19:27:49,0:03:36,1/4/2026,
50354,ADHR Elder Neglect,Adult Protective Services                                   ,                                                            ,SHORTPSA,19:31:25,0:00:30,1/4/2026,
50110,Stay Sharp (Marcia Gay Harden) 60,Gov PSA                                                     ,                                                            ,LONGPSA,19:31:55,0:01:02,1/4/2026,
50392,Coming Around,AL Clean Fuels Coalition                                    ,                                                            ,SHORTPSA,19:32:57,0:00:30,1/4/2026,
31041,Christmas In New York,Backstreet Boys                                             ,                                                            ,HOLIDAYS,19:33:27,0:04:30,1/4/2026,
31076,I Want A Hippopotamus For Christmas,Childrens Songs                                             ,Misc                                                        ,HOLIDAYS,19:37:57,0:02:35,1/4/2026,
31130,A Nonsense Christmas,Sabrina Carpenter                                           ,                                                            ,HOLIDAYS,19:40:32,0:02:32,1/4/2026,
31048,I Am the Grinch (feat. Fletcher Jones),"Tyler, The Creator                                          ",Dr. Seuss' The Grinch (Original Motion Picture Soundtrack)  ,HOLIDAYS,19:43:04,0:02:35,1/4/2026,
50381,STD Testing,                                                            ,                                                            ,SHORTPSA,19:45:39,0:00:30,1/4/2026,
50123,SKILS 60_1,                                                            ,                                                            ,LONGPSA,19:46:10,0:00:59,1/4/2026,
50388,Auburn Veteran's Resource Center PSA,                                                            ,                                                            ,SHORTPSA,19:47:09,0:00:36,1/4/2026,
31134,Santa Claus Is Coming to Town,Frank Sinatra                                               ,Ultimate Christmas                                          ,HOLIDAYS,19:47:45,0:02:14,1/4/2026,
31133,Have Yourself a Merry Little Christmas,Phoebe Bridgers                                             ,Have Yourself a Merry Little Christmas - Single             ,HOLIDAYS,19:49:59,0:02:58,1/4/2026,
31039,December Back 2 June,Alicia Keys                                                 ,                                                            ,HOLIDAYS,19:52:57,0:02:41,1/4/2026,
31159,Sisters,Rosemary Clooney with Betty Clooney & Paul Weston & His Orch,"Irving Berlin's White Christmas""                           """,HOLIDAYS,19:55:38,0:02:44,1/4/2026,
50034,Black Student Union SID,Kai Jones                                                   ,                                                            ,IDS,19:58:22,0:00:14,1/4/2026,
31066,I Don't Know What Christmas Is (But Christmastime Is Here),Old 97's                                                    ,The Guardians of the Galaxy Holiday Special (Original Soundt,HOLIDAYS,19:58:36,0:02:56,1/4/2026,
31062,Father Christmas,The Kinks                                                   ,Come Dancing With the Kinks: The Best of the Kinks 1977-1986,HOLIDAYS,20:01:32,0:03:39,1/4/2026,
31110,Gloria,Michael W. Smith                                            ,The Ultimate Christmas Collection                           ,HOLIDAYS,20:05:11,0:05:01,1/4/2026,
31158,All I Want,The Cascadians                                              ,Christmas Ska                                               ,HOLIDAYS,20:10:12,0:04:23,1/4/2026,
50330,Texting & Driving (Driving Rhythm) 30,Gov PSA                                                     ,                                                            ,SHORTPSA,20:14:35,0:00:30,1/4/2026,
50125,ASC Get Rich 60,                                                            ,                                                            ,LONGPSA,20:15:05,0:01:00,1/4/2026,
50331,Feed the Pig (Overboard) 30,Gov PSA                                                     ,                                                            ,SHORTPSA,20:16:05,0:00:31,1/4/2026,
31112,The Chanukah Song,Adam Sandler                                                ,What the Hell Happened to Me? [Explicit]                    ,HOLIDAYS,20:16:36,0:03:38,1/4/2026,
31065,All I Want For Christmas,Mariah Carey                                                ,                                                            ,HOLIDAYS,20:20:14,0:04:25,1/4/2026,
31007,Step Into Christmas,Elton John                                                  ,Caribou (Remastered)                                        ,HOLIDAYS,20:24:39,0:04:27,1/4/2026,
31050,Christmas Is,Run-DMC                                                     ,A Very Special Christmas 2                                  ,HOLIDAYS,20:29:06,0:03:18,1/4/2026,
31015,Here Comes Santa Claus (Right Down Santa Claus Lane),Elvis Presley                                               ,Elvis' Christmas Album                                      ,HOLIDAYS,20:32:25,0:01:54,1/4/2026,
50322,Stay Sharp (Marcia Gay Harden) 30,Gov PSA                                                     ,                                                            ,SHORTPSA,20:34:19,0:00:32,1/4/2026,
50142,Rental Assistance Mainstream,AL Housing                                                  ,                                                            ,LONGPSA,20:34:51,0:01:00,1/4/2026,
50362,LEAD Bees - First 56,Rae!                                                        ,                                                            ,SHORTPSA,20:35:51,0:00:37,1/4/2026,
31127,"Mvmt IV, -Every Bell On Earth Will Ring",The Oh Hellos                                               ,The Oh Hellos Family Christmas Album                        ,HOLIDAYS,20:36:28,0:06:40,1/4/2026,
31026,I Wonder as I Wander,"Harry Connick, Jr.                                          ",Harry for the Holidays                                      ,HOLIDAYS,20:43:08,0:03:01,1/4/2026,
31150,Praise Jah It's Christmas,Alton Ellis                                                 ,Christmas Greetings from Studio One                         ,HOLIDAYS,20:46:09,0:02:07,1/4/2026,
31116,Donde Esta Santa Claus,Chang Loo                                                   ,An Evening With Chang Loo                                   ,HOLIDAYS,20:48:16,0:02:48,1/4/2026,
50366,DHR Adoption,                                                            ,                                                            ,SHORTPSA,20:51:04,0:00:30,1/4/2026,
50135,Drive Electric Future Is Here AL 60,AL Clean Fuels Coalition                                    ,                                                            ,LONGPSA,20:51:34,0:01:00,1/4/2026,
50395,JAZZ BLOCK PSA,[CASEY]                                                     ,                                                            ,SHORTPSA,20:52:34,0:00:32,1/4/2026,
31104,It's Beginning to Look Like Christmas,Johnny Mathis                                               ,Christmas Eve With Johnny Mathis                            ,HOLIDAYS,20:53:06,0:02:13,1/4/2026,
31006,Wonderful Christmastime (Edited Version),Paul McCartney                                              ,McCartney II (2011 Remaster) [Special Edition]              ,HOLIDAYS,20:55:19,0:03:45,1/4/2026,
50014,J Jonah Jameson SID,J. Jonah Jameson                                            ,                                                            ,IDS,20:59:04,0:00:10,1/4/2026,
76704,Put a Little Love in Your Heart,Al Green                                                    ,The Very Best of Al Green [Music Club]                      ,RANDB,20:59:14,0:03:48,1/4/2026,
76526,Provider,Frank Ocean                                                 ,Provider - Single                                           ,RANDB,21:03:02,0:04:02,1/4/2026,
76773,She Don't Let Nobody (But Me),Curtis Mayfield                                             ,Love is the Place                                           ,RANDB,21:07:04,0:04:14,1/4/2026,
76500,Me and Your Mama,Childish Gambino                                            ,                                                            ,RANDB,21:11:18,0:06:18,1/4/2026,
50391,All In One Tix Mainstream,AL Tourism Department                                       ,                                                            ,SHORTPSA,21:17:36,0:00:31,1/4/2026,
50334,Time Machine 30,                                                            ,                                                            ,SHORTPSA,21:18:07,0:00:30,1/4/2026,
50111,Learning & Attention Issues (Siri) 60,Gov PSA                                                     ,                                                            ,LONGPSA,21:18:37,0:01:00,1/4/2026,
76545,Shining Star,"Earth, Wind & Fire                                          ",                                                            ,RANDB,21:19:37,0:02:50,1/4/2026,
76655,Heart Don't Stand a Chance,Anderson .Paak                                              ,Malibu                                                      ,RANDB,21:22:27,0:05:16,1/4/2026,
76620,Dilemma (feat. Kelly Rowland),Nelly                                                       ,Nellyville                                                  ,RANDB,21:27:43,0:04:49,1/4/2026,
76863,It Must Change,ANOHNI and the Johnsons                                     ,My Back Was A Bridge For You To Cross                       ,RANDB,21:32:32,0:04:52,1/4/2026,
50107,Dr Phil 60,                                                            ,                                                            ,LONGPSA,21:37:24,0:01:00,1/4/2026,
50113,LEAD Rolling Hills - First 56,Rae!                                                        ,                                                            ,LONGPSA,21:38:24,0:01:01,1/4/2026,
76657,Ex-Factor,Lauryn Hill                                                 ,The Miseducation of Lauryn Hill                             ,RANDB,21:39:25,0:05:26,1/4/2026,
76592,16,Baby Keem                                                   ,The Melodic Blue                                            ,RANDB,21:44:51,0:02:34,1/4/2026,
76725,Get Up Offa That Thing,James Brown                                                 ,20 All-Time Greatest Hits!                                  ,RANDB,21:47:25,0:04:11,1/4/2026,
76795,The Boss,Diana Ross                                                  ,All the Great Hits                                          ,RANDB,21:51:36,0:03:56,1/4/2026,
50112,All Kids 2023,ADPH                                                        ,                                                            ,LONGPSA,21:55:32,0:01:00,1/4/2026,
50303,TigerDevPSA,                                                            ,                                                            ,SHORTPSA,21:56:32,0:00:32,1/4/2026,
50396,Geo Club PSA,                                                            ,                                                            ,SHORTPSA,21:57:04,0:00:31,1/4/2026,
76735,Grandma's Hands,Bill Withers                                                ,                                                            ,RANDB,21:57:35,0:01:59,1/4/2026,
50039,Floating Shopping List SID,Eugene Krabs                                                ,                                                            ,IDS,21:59:34,0:00:18,1/4/2026,
76676,Loyal,Twelve'len                                                  ,Loyal - Single                                              ,RANDB,21:59:52,0:02:42,1/4/2026,
76759,Wish That You Were Mine,The Manhattans                                              ,Kiss and Say Goodbye: The Best of The Manhattans            ,RANDB,22:02:34,0:04:16,1/4/2026,
76638,Betray My Heart,D'Angelo and The Vanguard                                   ,Black Messiah                                               ,RANDB,22:06:50,0:05:55,1/4/2026,
76754,Tighten Up,Archie Bell & The Drells                                    ,Talk to Me (Music from the Motion Picture)                  ,RANDB,22:12:45,0:03:11,1/4/2026,
50340,Dustin Lynch 30,                                                            ,                                                            ,SHORTPSA,22:15:56,0:00:30,1/4/2026,
50390,All In One Tix Urban,AL Tourism Department                                       ,                                                            ,SHORTPSA,22:16:26,0:00:30,1/4/2026,
50117,Gift to Future Me 60 (Financial Literacy),                                                            ,                                                            ,LONGPSA,22:16:56,0:01:00,1/4/2026,
76774,can't fight the devil,Zack Fox                                                    ,wood tip - EP                                               ,RANDB,22:17:56,0:03:25,1/4/2026,
76828,Love Is the Way,Thee Sacred Souls                                           ,Love Is the Way - Single                                    ,RANDB,22:21:21,0:02:58,1/4/2026,
76784,To Be Invisible,Gladys Knight & The Pips                                    ,Claudine (Original Motion Picture Soundtrack)               ,RANDB,22:24:19,0:03:44,1/4/2026,
76815,"Doctor, My Eyes",Khamari                                                     ,"Doctor, My Eyes - Single                                    ",RANDB,22:28:03,0:03:13,1/4/2026,
50128,ASC Natural Disasters,                                                            ,                                                            ,LONGPSA,22:31:16,0:01:00,1/4/2026,
50132,UPC HOLIDAY LIGHTS PSA,[CASEY]                                                     ,                                                            ,LONGPSA,22:32:16,0:01:00,1/4/2026,
76742,"Golden, Pt. 2 (feat. Mereba)",Berhana                                                     ,"Golden, Pt. 2 - Single                                      ",RANDB,22:33:16,0:02:17,1/4/2026,
76864,Funny Thing,Thundercat                                                  ,It Is What It Is                                            ,RANDB,22:35:33,0:01:57,1/4/2026,
76615,Cissy Strut,The Meters                                                  ,The Meters                                                  ,RANDB,22:37:30,0:03:03,1/4/2026,
76788,Halfcrazy,Musiq Soulchild                                             ,Juslisen                                                    ,RANDB,22:40:33,0:04:10,1/4/2026,
50126,Just in Case opioid crisis,Gov PSA                                                     ,                                                            ,LONGPSA,22:44:43,0:01:00,1/4/2026,
50328,Firearm Storage Safety 30,Gov PSA                                                     ,                                                            ,SHORTPSA,22:45:44,0:00:30,1/4/2026,
50350,MPox,ADPH                                                        ,                                                            ,SHORTPSA,22:46:14,0:00:30,1/4/2026,
76673,Family Affair (Single Version),Sly & The Family Stone                                      ,The Essential Sly & The Family Stone                        ,RANDB,22:46:44,0:03:03,1/4/2026,
76546,That Lady (Pt. 1 & 2),The Isley Brothers                                          ,The Ultimate Isley Brothers                                 ,RANDB,22:49:47,0:05:34,1/4/2026,
76637,LOVE AGAIN (feat. Brandy),Daniel Caesar                                               ,CASE STUDY 01                                               ,RANDB,22:55:21,0:03:34,1/4/2026,
50036,Squidward Public Radio ID,Squidward Tenticles                                         ,                                                            ,IDS,22:58:55,0:00:10,1/4/2026,
50349,Dr. Hepcat Show Promo _mixdown,                                                            ,                                                            ,SHORTPSA,23:18:40,0:00:26,1/4/2026,
50100,ANG Make A Difference 60,                                                            ,                                                            ,LONGPSA,23:19:06,0:01:00,1/4/2026,
50343,Tickle Fight 30,                                                            ,                                                            ,SHORTPSA,23:20:06,0:00:31,1/4/2026,
50325,Kids' Oral Health (Manners) 30,Gov PSA                                                     ,                                                            ,SHORTPSA,23:30:08,0:00:30,1/4/2026,
50302,NEW Sound Psa Short,Rae!                                                        ,                                                            ,SHORTPSA,23:30:38,0:00:21,1/4/2026,
50338,Time Machine 30,                                                            ,                                                            ,SHORTPSA,23:30:59,0:00:30,1/4/2026,
50320,SSS Letters (Oh No) 30,Gov PSA                                                     ,                                                            ,SHORTPSA,23:31:29,0:00:31,1/4/2026,
50109,St. Jude Finding Family Broadcast 60,                                                            ,                                                            ,LONGPSA,23:46:18,0:00:59,1/4/2026,
50104,Pooped (Childhood Cancer) 60,                                                            ,                                                            ,LONGPSA,23:47:18,0:00:59,1/4/2026,
50348,AL Workforce,                                                            ,                                                            ,SHORTPSA,0:01:44,0:00:30,1/5/2026,
50326,Buzzed Driving (Online Dating) 30,Gov PSA                                                     ,                                                            ,SHORTPSA,0:02:14,0:00:30,1/5/2026,
50118,Rockstar 60,                                                            ,                                                            ,LONGPSA,0:02:44,0:00:58,1/5/2026,
47858,CliffBoothID,                                                            ,                                                            ,IDS,0:03:43,0:00:14,1/5/2026,
50383,ALW Skill UP,                                                            ,                                                            ,SHORTPSA,0:20:07,0:00:30,1/5/2026,
50130,ASC Get Rich 60,                                                            ,                                                            ,LONGPSA,0:20:37,0:01:01,1/5/2026,
50363,Mortgage Assist Mainstream 30,                                                            ,                                                            ,SHORTPSA,0:21:38,0:00:30,1/5/2026,
50398,ISSUEVOTER PSA 01,ISSUEVOTER AND [CASEY]                                      ,                                                            ,SHORTPSA,0:35:37,0:00:30,1/5/2026,
50108,Multiple Sclerosis 60,                                                            ,                                                            ,LONGPSA,0:36:07,0:01:02,1/5/2026,
50394,Hip Hop Block PSA,                                                            ,                                                            ,SHORTPSA,0:37:09,0:00:31,1/5/2026,
50314,Typical Day Before (Hurricane) 30,Gov PSA                                                     ,                                                            ,SHORTPSA,0:48:20,0:00:30,1/5/2026,
50115,CDC Tips2 Tiffany Radio 60 psa,                                                            ,                                                            ,LONGPSA,0:48:50,0:01:00,1/5/2026,
50337,VitAL Connect Alabama,VitAL                                                       ,                                                            ,SHORTPSA,0:49:50,0:00:30,1/5/2026,
50008,Blockin' The Street SID,Brian Griffin                                               ,                                                            ,IDS,1:00:23,0:00:20,1/5/2026,
50313,Don't Litter (P.A.L.S) 30,Gov PSA                                                     ,                                                            ,SHORTPSA,1:16:44,0:00:30,1/5/2026,
50136,WEGL Youtube PSA,                                                            ,                                                            ,LONGPSA,1:17:14,0:01:00,1/5/2026,
50336,Terry Crews 30,                                                            ,                                                            ,SHORTPSA,1:18:14,0:00:30,1/5/2026,
50378,ISSUEVOTER PSA 03,ISSUEVOTER AND [CASEY]                                      ,                                                            ,SHORTPSA,1:31:42,0:00:30,1/5/2026,
50127,Army National Guard (Family 60),                                                            ,                                                            ,LONGPSA,1:32:12,0:01:00,1/5/2026,
50400,CDCZika-WomanDoctor-30-Spanish(1),                                                            ,                                                            ,SHORTPSA,1:33:12,0:00:30,1/5/2026,
50316,AUAW At Work Phase II,                                                            ,                                                            ,SHORTPSA,1:48:34,0:00:30,1/5/2026,
50102,Feed the Pig (Overboard) 60,Gov PSA                                                     ,                                                            ,LONGPSA,1:49:04,0:01:00,1/5/2026,
50308,Cheering Section 30,                                                            ,                                                            ,SHORTPSA,1:50:04,0:00:30,1/5/2026,
50066,Bjork SID,                                                            ,                                                            ,IDS,2:01:25,0:00:09,1/5/2026,
50310,SSS Bikini 30,Gov PSA                                                     ,                                                            ,SHORTPSA,2:18:52,0:00:30,1/5/2026,
50105,Radon Testing (Gospel) 60,                                                            ,                                                            ,LONGPSA,2:19:22,0:01:00,1/5/2026,
50375,Drive Electric Driving Experience AL,AL Clean Fuels Coalition                                    ,                                                            ,SHORTPSA,2:20:22,0:00:30,1/5/2026,
50389,BARD SESSIONS PSA,[CASEY]                                                     ,                                                            ,SHORTPSA,2:28:54,0:00:35,1/5/2026,
50138,Coming Around,ALClean Fuels Coalition                                     ,                                                            ,LONGPSA,2:29:29,0:00:59,1/5/2026,
50347,I Am A Witness_English_30,                                                            ,                                                            ,SHORTPSA,2:30:28,0:00:30,1/5/2026,
50382,ALW Eye on the Prize,                                                            ,                                                            ,SHORTPSA,2:49:45,0:00:30,1/5/2026,
50129,Beat Drop/WWEGL Joint PSA,L Hurston                                                   ,                                                            ,LONGPSA,2:50:15,0:01:03,1/5/2026,
50315,ISSUEVOTER PSA 02,ISSUEVOTER AND [CASEY]                                      ,                                                            ,SHORTPSA,2:51:18,0:00:30,1/5/2026,
50035,LAWN DOG ID,[CASEY]                                                     ,                                                            ,IDS,2:59:11,0:00:09,1/5/2026,
50765,Slip Away,Perfume Genius                                              ,No Shape                                                    ,INDIE,2:59:20,0:02:46,1/5/2026,
50594,Now As Then,Tune-Yards                                                  ,I can feel you creep into my private life                   ,INDIE,3:02:06,0:03:51,1/5/2026,
50610,Fear The Future,St. Vincent                                                 ,MASSEDUCTION                                                ,INDIE,3:05:57,0:02:29,1/5/2026,
